complexity,loss,equation,score,sympy_format,lambda_format
1,220976.37912585904,1349.1140298886783,0.0,1349.1140298886783,PySRFunction(X=>1349.1140298886783)
3,201767.0713046158,x1 + 751.7002900345725,0.045470947159902436,x1 + 751.7002900345725,PySRFunction(X=>x1 + 751.7002900345725)
4,119653.94299517658,sqrt(x2) * 39.831818957976516,0.5225101514806744,39.831818957976516*sqrt(x2),PySRFunction(X=>39.831818957976516*sqrt(x2))
5,77976.62102966206,"min(1659.3825278796603, x1 + x2)",0.4281947168490526,"Piecewise((1659.3825278796603, x1 + x2 > 1659.3825278796603), (x1 + x2, True))","PySRFunction(X=>Piecewise((1659.3825278796603, x1 + x2 > 1659.3825278796603), (x1 + x2, True)))"
6,71789.89156771002,(sqrt(x2) + x0) * 33.555518555063124,0.08266537119465026,33.555518555063124*x0 + 33.555518555063124*sqrt(x2),PySRFunction(X=>33.555518555063124*x0 + 33.555518555063124*sqrt(x2))
7,54858.378406803466,"(x0 * 62.07575053964496) + min(x2, 1191.0015451870993)",0.2689887538584008,"x0*62.07575053964496 + Piecewise((x2, x2 < 1191.0015451870993), (1191.0015451870993, True))","PySRFunction(X=>x0*62.07575053964496 + Piecewise((x2, x2 < 1191.0015451870993), (1191.0015451870993, True)))"
8,48756.24413555316,"(sqrt(x0) * 203.60494520349604) + min(1120.2638536986092, x2)",0.1179216522459076,"203.60494520349604*sqrt(x0) + Piecewise((1120.2638536986092, x2 > 1120.2638536986092), (x2, True))","PySRFunction(X=>203.60494520349604*sqrt(x0) + Piecewise((1120.2638536986092, x2 > 1120.2638536986092), (x2, True)))"
9,32191.546880758648,"cube(log(x0 * x1)) + min(x2, 1106.9047435426112)",0.41512937521849463,"Piecewise((x2, x2 < 1106.9047435426112), (1106.9047435426112, True)) + log(x0*x1)**3","PySRFunction(X=>Piecewise((x2, x2 < 1106.9047435426112), (1106.9047435426112, True)) + log(x0*x1)**3)"
11,28760.945651651477,"cube(log(x0 * x1)) + max(293.49066282508835, min(x2, 1106.9048373518042))",0.056342742874108724,"Piecewise((Piecewise((x2, x2 < 1106.9048373518042), (1106.9048373518042, True)), ITE(x2 < 1106.9048373518042, x2 > 293.49066282508835, True)), (293.49066282508835, True)) + log(x0*x1)**3","PySRFunction(X=>Piecewise((Piecewise((x2, x2 < 1106.9048373518042), (1106.9048373518042, True)), ITE(x2 < 1106.9048373518042, x2 > 293.49066282508835, True)), (293.49066282508835, True)) + log(x0*x1)**3)"
12,28567.755069471084,"min(1072.3571867064704, x2) + cube(log(cube(x0) + (x0 * x1)))",0.006739776448792018,"Piecewise((1072.3571867064704, x2 > 1072.3571867064704), (x2, True)) + log(x0**3 + x0*x1)**3","PySRFunction(X=>Piecewise((1072.3571867064704, x2 > 1072.3571867064704), (x2, True)) + log(x0**3 + x0*x1)**3)"
13,25513.87232537042,"cube(log(x1 * (x0 + -0.8711694692931767))) + min(1148.1188940681895, max(x2, 344.79522049806405))",0.11305631965534167,"Piecewise((1148.1188940681895, ITE(x2 < 344.79522049806405, False, x2 > 1148.1188940681895)), (Piecewise((344.79522049806405, x2 < 344.79522049806405), (x2, True)), True)) + log(x1*(x0 - 0.8711694692931767))**3","PySRFunction(X=>Piecewise((1148.1188940681895, ITE(x2 < 344.79522049806405, False, x2 > 1148.1188940681895)), (Piecewise((344.79522049806405, x2 < 344.79522049806405), (x2, True)), True)) + log(x1*(x0 - 0.8711694692931767))**3)"
15,25309.66044981619,"cube(log(x1 * (x0 + -0.8739159746226094))) + min(x0 + max(338.6955324419689, x2), 1148.6438673397208)",0.0040180790944592095,"Piecewise((x0 + Piecewise((x2, x2 > 338.6955324419689), (338.6955324419689, True)), ITE(x2 > 338.6955324419689, x0 + x2 < 1148.6438673397208, x0 + 338.6955324419689 < 1148.6438673397208)), (1148.6438673397208, True)) + log(x1*(x0 - 0.8739159746226094))**3","PySRFunction(X=>Piecewise((x0 + Piecewise((x2, x2 > 338.6955324419689), (338.6955324419689, True)), ITE(x2 > 338.6955324419689, x0 + x2 < 1148.6438673397208, x0 + 338.6955324419689 < 1148.6438673397208)), (1148.6438673397208, True)) + log(x1*(x0 - 0.8739159746226094))**3)"
