Complexity,Loss,Equation
1,220976.34,"1349.1276"
3,201767.03,"x1 + 751.6785"
4,119653.92,"sqrt(x2) * 39.832283"
5,98548.33,"cube(log(x2 * 67.30324))"
6,71789.88,"(sqrt(x2) + x0) * 33.55543"
7,65752.984,"square(log(x0 * x2)) * 18.272768"
8,45156.94,"sqrt(x2 + x1) * (x0 + 25.674255)"
10,43845.383,"((x0 + sqrt(x1 + x2)) * 33.758476) - 272.87177"
11,42846.43,"sqrt((x1 + x2) * (237.099 - (sqrt(x0) * -336.62094)))"
12,39233.496,"(x0 * 47.038918) + ((sqrt(x2) * 23.793015) - (x1 * -0.41334465))"
13,38520.695,"(sqrt(x2 + x1) * 31.262735) - ((sqrt(x0) * -239.80733) + 538.7034)"
14,38471.87,"((sqrt(x1 + x2) * 31.269682) + (sqrt(sqrt(x0)) * 713.28076)) - 1050.0057"
15,36960.44,"((x0 + sqrt(x1 + (sqrt(x2 + 211.3697) * 64.35707))) * 46.27947) - 1454.2559"
16,35167.676,"((x0 + 114.69478) * sqrt((x2 + 619.0653) - (x1 * -0.29727858))) + (-2793.0742 - x2)"
18,31832.639,"((sqrt((x2 + 530.02496) - (x1 * -0.28694555)) * 117.8984) + (x0 * 48.015247)) + (-2822.2815 - x2)"
19,30183.951,"-3165.186 + (((sqrt(x0) * 237.854) + (sqrt((x2 + 557.6546) - (x1 * -0.2863315)) * 118.843834)) - x2)"
20,29168.129,"(((-5080.3457 - x2) + (sqrt((x2 + 1679.8978) + (x1 * 0.13185422)) * 123.147446)) + (x0 * 17.32946)) * 2.7716808"
