Complexity,Loss,Equation
1,220976.34,"1349.1276"
3,201767.05,"x1 - -751.6804"
4,119653.92,"sqrt(x2) * 39.832283"
5,100475.64,"sqrt(sqrt(x2) * 59581.062)"
6,71789.88,"(x0 + sqrt(x2)) * 33.555424"
8,45156.94,"(x0 + 25.673536) * sqrt(x1 + x2)"
10,44882.94,"(x0 + 24.273481) * (sqrt(x2 + x1) + 1.9585178)"
11,43908.96,"(x0 + 24.359814) * (sqrt(x1 + x2) + log(x0))"
12,39236.72,"(x1 - (((sqrt(x2) + x0) + x0) / -0.017532378)) / 2.4081292"
14,39043.06,"-50.692806 - (((((x0 + sqrt(x2)) + x0) / -0.017705662) - x1) / 2.3094347)"
16,38547.504,"((x1 - (((x0 + sqrt(x2)) + x0) / -0.020163354)) / 2.1299505) - (80.043495 / x0)"
17,38025.477,"((x1 - ((x0 + (x0 + sqrt(x2))) / -0.018420402)) / 2.2965965) - (291.5912 / exp(x0))"
19,37986.43,"(((x1 - ((x0 + (x0 + sqrt(x2))) / -0.018420402)) / 2.2965965) - (291.5912 / exp(x0))) - x0"
