Complexity,Loss,Equation
1,220976.34,"1349.1276"
3,201767.05,"x1 + 751.682"
4,119653.93,"sqrt(x2) * 39.831753"
5,100475.64,"sqrt(sqrt(x2)) * 244.09227"
6,71789.88,"(sqrt(x2) + x0) * 33.555225"
8,45156.945,"(x0 + 25.674711) * sqrt(x1 + x2)"
10,43845.387,"((x0 + sqrt(x2 + x1)) * 33.75849) + -272.87253"
12,39387.72,"(x0 + (sqrt(x1 + x2) + (-11.088758 / x0))) * 29.916058"
13,36314.504,"(x0 * 49.827625) + (((x2 * -0.00013473396) - -0.7581968) * (x1 + x2))"
15,31356.922,"(((x2 * -0.00028234947) - -1.1551741) * (x2 + (x1 / 1.9679085))) + (x0 * 48.117268)"
17,27048.85,"((x0 * 58.43447) + ((x1 / 2.0660613) + (x2 + -127.859146))) * ((x2 * -0.00024685974) - -1.1377354)"
19,26243.455,"(((x0 * (69.48144 - x0)) + ((x1 / 2.0992608) + x2)) + -177.37054) * ((x2 * -0.0002628171) - -1.1810745)"
21,26229.66,"((x2 + (((x0 * (69.24603 - x0)) + (x1 / 2.111472)) + -155.57501)) * ((x2 * -0.00026326353) - -1.1883944)) + -26.831734"
23,26165.316,"((x2 * -0.00025966967) - -1.1736374) * (((x0 * ((60.555393 - x0) * 1.1928451)) + (x2 + ((x1 / 2.1002464) + -178.37405))) - 4.335949)"
25,26154.559,"(((((x0 * (67.104065 - x0)) + (x1 / 2.145)) + (x2 + -54.402294)) * ((x2 * -0.00026303306) - -1.2073126)) + (x0 + -71.60457)) + -69.035995"
28,25997.87,"(x0 * 48.78573) + ((-2465.2866 - ((((x2 * x2) * -1.93069e-6) - sqrt(x2)) * -133.45007)) + sqrt(square(sqrt(x2) * -227.84293) + square(x1 + 2916.5005)))"
30,25232.662,"(-2149.0876 + sqrt(square(sqrt(x2) * 193.12134) + square(-2406.8574 - x1))) + ((x0 * (62.383015 - x0)) - ((x2 * (x2 * 0.00023103917)) - (sqrt(x2) * -107.14847)))"
31,24201.363,"(sqrt(x0) * 243.52466) + ((sqrt(square(-2337.6655 - x1) + square(sqrt(x2) * 179.90788)) + (-2101.291 - (((x2 * x2) * 0.00040199212) - (sqrt(x2) * -129.7147)))) + x2)"
33,23311.969,"x2 + ((log(x0) * 265.43958) + (((sqrt(square(x1 - -2355.543) + square(sqrt(x2) * 139.43155)) + -2063.3455) - ((x2 * (x2 * 0.0004662873)) - (sqrt(x2) * -90.11604))) / 1.3429422))"
35,23046.957,"(-2062.133 + (((log(x0) * 157.56511) + sqrt(square(sqrt((x0 * 8.237683) + x2) * 178.6214) + square(-2357.2554 - x1))) - (((x2 * x2) * 0.00040744053) - (sqrt(x2) * -123.709465)))) + x2"
37,23035.418,"(-2062.133 + (((log(x0) * 157.56511) + sqrt(square(sqrt((8.237683 * x0) + x2) * 178.6214) + square(-2357.2554 - x1))) - ((x2 * (x2 * 0.00040744053)) - (sqrt(x2 + 0.34233746) * -123.709465)))) + x2"
38,23034.719,"(((((sqrt(x0) * 304.32092) + (sqrt(x1) + x2)) + (-2159.0112 - ((x2 * (x2 * 0.0004162507)) - (sqrt(x2) * -103.09534)))) + sqrt(square(x1 - -2295.1768) + square(sqrt(x2) * 161.97974))) / 1.251375) - 62.820747"
39,22143.566,"(log(x0) * 183.42061) + ((x2 - ((x2 * (x2 * 0.0003782862)) - (sqrt(x2) * -86.037476))) + ((square(sqrt(sqrt(square(159.71892 * sqrt(x2 + (x0 * 9.317731))) + square(-2357.073 - x1)))) + -2115.1401) / 1.2142439))"
41,22074.252,"((((sqrt(square(sqrt(square(sqrt((x0 * 11.060223) + x2) * 153.5282) + square(-2357.7048 - x1)))) + -2118.5525) / 1.2617179) - 5.137338) + (log(x0) * 169.6241)) + (x2 - ((x2 * (0.00036766645 * x2)) - (sqrt(x2) * -78.059555)))"
42,22069.748,"(log(x0) * 170.92302) + (((((sqrt(sqrt(square(square(-2358.3677 - x1) + square(sqrt(x2 + (x0 * 10.34051)) * 157.51743)))) + -2115.5796) / 1.2295324) - sqrt(x2)) + x2) - ((x2 * (x2 * 0.0003719536)) - (sqrt(x2) * -82.33276)))"
43,22049.926,"(log(x0) * 183.42061) + ((x2 - ((x2 * (x2 * 0.0003782862)) - (sqrt(x2) * -86.037476))) + (((square(sqrt(sqrt(square(159.71892 * sqrt(x2 + (x0 * 9.317731))) + square(-2357.073 - x1)))) + -2115.1401) / 1.2142439) - (x1 / x2)))"
44,21806.03,"(((((sqrt(sqrt(square(square(sqrt((x0 * 10.518329) + x2) * 158.6038) + square(-2375.9224 - x1)))) + (log(x0) * 171.69963)) + -2099.726) + x2) - (((x2 * x2) * 0.00040091976) - (sqrt(x2) * -102.172226))) / 1.0915635) - (x1 / sqrt(x2))"
