Complexity,Loss,Equation
1,220976.379125859,"1349.1140291543168"
3,201767.0713046158,"x1 + 751.7002900012981"
4,119653.94299517658,"sqrt(x2) * 39.831819014655636"
5,77976.62102966204,"min(x2 + x1, 1659.3825278802847)"
6,71789.89156771002,"(x0 + sqrt(x2)) * 33.555518520446284"
7,54858.37840680346,"min(x2, 1191.0015452039324) + (x0 * 62.075750459803174)"
8,45156.94636866593,"(x0 + 25.67406870051142) * sqrt(x2 + x1)"
9,42758.05532860551,"min(1315.3545168663732, max(x2, x1)) + (x0 * 46.23875544981868)"
10,30918.277342196754,"sqrt((x1 * 73.57096117646047) * x0) + min(x2, 1112.286271642983)"
11,28275.74452407758,"(x0 * 43.157706962237775) + (min(1078.170231038472, x2) - (x1 * -0.38845795076216794))"
12,26577.979182156847,"max(min(1144.2019892991186, x2), 341.2093138486337) + sqrt(x0 * (x1 * 64.82553464873925))"
13,25196.53179081504,"(x0 * 41.08817271548569) + (min(1109.659230944714, max(x2, 296.48999959226563)) - (x1 * -0.36536126052531004))"
14,24124.61806115448,"sqrt((x0 * max(203.99897849417545, x1)) * 67.49596747481166) + min(1120.1407005921214, max(295.9366519286673, x2))"
15,22757.347412280622,"((x0 + -3.0202799744115203) * 48.41788022397051) + (min(max(368.21537171212316, x2), 1152.9583488476474) - (x1 * -0.44128851227898125))"
16,20730.55959618058,"max(374.7974511007789, min(x2, 1155.3156504039202)) + ((((sqrt(x0) * 547.4344063825533) + x1) * 0.4398305533484082) - 415.00402206417766)"
18,20229.90231141444,"((min(cube(x0 + -2.7941769789748956), x0) * 34.642719316599454) + min(max(370.1299405916537, x2), 1153.1004724710926)) - (x1 * -0.4292409865185438)"
19,20130.00622943493,"max(384.94355749051283, min(x2, 1162.3989862590097)) + ((min((x0 * 2.6094088458388383) + -8.630846963096436, x0) * 33.13661556301418) - (x1 * -0.4448038942868835))"
20,20100.463163543387,"((min(x0, cube(x0 + -2.6969153744335945) + -1.1498518757463037) * 33.55265357667676) + max(382.9142976009023, min(1161.0047881833111, x2))) - (x1 * -0.4386644950051751)"
