Complexity,Loss,Equation
1,220976.379125859,"1349.1140300038996"
3,201767.07130461582,"x1 + 751.7002895933125"
4,197589.34224136375,"min(square(x2), 1374.0645473246725)"
5,77976.62102966206,"min(x2 + x1, 1659.3825278812635)"
7,54858.37840680347,"(x0 * 62.0757505345678) + min(1191.0015452590537, x2)"
8,48927.84045733366,"min(x2, 1151.5053311548074) - (log(x0) * -278.18474796276035)"
9,42758.055328605515,"min(1315.3545151865617, max(x2, x1)) + (x0 * 46.23875556985807)"
11,28275.744524077592,"(min(1078.170231059499, x2) + (x1 * 0.38845795094447977)) - (x0 * -43.15770694328637)"
13,25196.531892071132,"(max(296.4889714179953, min(x2, 1109.6593290633616)) + (x1 / 2.7370221382088245)) - (x0 * -41.08823291404045)"
15,22757.347412553114,"(max(368.2144482798132, min(1152.9582936029756, x2)) + ((x1 / 2.266095300501097) - (x0 * -48.41780280863439))) + -146.23419767251167"
17,22643.1565427121,"(x1 / 2.265059809022443) + (min(max(x2, 368.7419157527446) + x0, 1160.1281522335369) + (-150.18746457885774 - (x0 * -47.95928268837316)))"
18,22451.521560589972,"(min(max(x2, 369.5126102297143) + sqrt(x1), 1176.684239306418) + (-161.89431173205818 - (x0 * -48.427296944989564))) + (x1 / 2.331452553067703)"
20,20740.156319742706,"((x1 / 2.811984472666861) + -185.71575703594473) + (min(1328.8423499025396, (x0 * sqrt(x1)) + max(374.6474056556711, x2)) - (x0 * -38.405369505664204))"
22,20350.637456256718,"(x1 / 2.932810187261859) + (min(1344.4015397515157, max(min(1234.6591089141189, x2), 372.03887869293385) + (sqrt(x1) * x0)) + (-155.4646074596947 - (x0 * -35.62556548328402)))"
24,20328.53655962046,"((x1 / 2.9388624104615264) + -155.36991146994401) + (min(1346.2885606197117, min(max(371.3764514225399, x2), 1234.2024323868332) + (x0 * sqrt(x0 + x1))) - (x0 * -35.43864551636991))"
25,20248.639273042256,"(max(x1, square(x0)) / 2.9388624104615264) + ((min(1346.2885606197117, min(max(371.3764514225399, x2), 1234.2024323868332) + (sqrt(x1) * x0)) + -155.36991146994401) - (x0 * -35.43864551636991))"
26,18542.238987399793,"((min(1331.322873040726, (sqrt(x1) * x0) + max(379.6973286153752, x2)) + (x1 / 2.8023529887257994)) + min((x0 * 48.039398955855596) - 293.2196305720263, -34.32244823213331)) - (x0 * -22.757409493611178)"
28,18538.74433266585,"min(1331.322873040726, max(379.6973286153752, x2) + (sqrt(x1) * x0)) + (((x1 / 2.8023529887257994) + min((x0 * 48.039398955855596) - 293.2196305720263, x0 + -34.32244823213331)) - (x0 * -22.757409493611178))"
30,18538.744332665847,"(min(1331.322873040726, max(x0, max(379.6973286153752, x2)) + (sqrt(x1) * x0)) + ((x1 / 2.8023529887257994) + min((x0 * 48.039398955855596) - 293.2196305720263, x0 + -34.32244823213331))) - (x0 * -22.757409493611178)"
31,18530.485754001606,"(min(1331.322873040726, max(max(x0, 379.6973286153752), x2) + (sqrt(x1) * x0)) + ((x1 / 2.8023529887257994) + min((x0 * 48.039398955855596) - 293.2196305720263, log(x0) + -34.32244823213331))) - (x0 * -22.757409493611178)"
32,18394.63703708666,"((max(x0, (x1 / 2.817063134499013) + -25.447413170523152) - (x0 * -21.219626018351683)) + min(9.397355471390073, (x0 * 49.85592625391704) - 270.7613781790037)) + min((sqrt(x1) * x0) + max(383.87153202017635, min(x2, 1278.6633493296292)), 1335.1443390589513)"
40,18200.24418402295,"(min(max(x0, max(440.0381633534312, x2)) + ((x1 / 4.1357601670620285) + (sqrt(x2) + min(-12.433767554888226, (x0 * 34.7100499657231) - 225.87865443542762))), 1299.9702352663799) + ((x1 / 3.163257759191242) + min((x0 * 34.55158665894906) - 230.1896613966139, x0 + -39.47539833988))) - (x0 * -29.487013805367248)"
