Complexity,Loss,Equation
1,220976.37912585904,"1349.114029999854"
3,201767.07130461582,"x1 + 751.7002899951405"
4,119653.94299517658,"sqrt(x2) * 39.831818958020264"
5,77976.62102966207,"min(1659.382527880925, x2 + x1)"
7,54858.37840680347,"(x0 * 62.075750539971146) + min(x2, 1191.0015451850265)"
9,42758.98405165629,"(x0 * 46.14371620528546) + max(min(x2, 1317.2779300334632), x1)"
10,32191.546880758655,"min(1106.9047435417074, x2) + cube(log(x0) + log(x1))"
12,30003.058637008802,"min(1106.9047435417074, x2) + cube(max(5.351839788276377, log(x1)) + log(x0))"
13,28623.98506378163,"min(1061.5413792948536, x2) + cube(log(x0) + log(x1 + square(x0)))"
14,26747.507018551874,"cube(sqrt(x0) + max(log(x1), 5.3601840888652355)) + min(x2 + -187.0237488694581, 906.3995189059955)"
16,22466.747548502073,"min(909.3413839547728, max(112.55448414100816, x2 - 242.89812451117493)) + cube(max(5.276754662751853, log(x1)) + sqrt(x0))"
18,21957.623617778547,"min(908.6911152178751, max(x2 + -245.32675643214938, x0 * 16.74472483917755)) + cube(log(max(201.15095069708678, x1)) + sqrt(x0))"
19,21884.45838134683,"max(min(x2 + -244.77664063847527, 909.3335599726453), sqrt(x0) * 51.897150731232855) + cube(max(log(x1), 5.2767676413845725) + sqrt(x0))"
20,21875.495011859235,"cube(max(log(x1), 5.300908641120524) + sqrt(x0)) + max(min(908.7285973276126, x2 + (x0 + -251.7902420138533)), x0 * 16.76731910213502)"
21,21328.734391624017,"cube(log(max(x1, 222.35125675534323)) + sqrt(x0)) + min(max(x2 + -310.74470890128896, x0) + sqrt(x1 * x0), 906.0014176281919)"
22,21122.775743152903,"cube(log(max(222.35125675534323, x1)) + sqrt(x0)) + min(sqrt(x1 * x0) + max(x2 + -310.74470890128896, sqrt(x1)), 906.0014176281919)"
23,20108.552983703903,"(cube(sqrt(x0) + max(log(x1), 5.989128276294743)) + min(max(x2 + -377.45639132587553, x0) + (sqrt(x1) * 11.793885394734101), 1065.2455498650158)) + -178.16260918396824"
26,20041.393234018553,"min(1072.8495172100436 - x0, max(x2 + -371.3526324046682, sqrt(x2)) + (11.306792243249046 * sqrt(x1))) + (cube(max(5.9690644198451555, log(x1)) + sqrt(x0)) + -171.08683473398509)"
27,20033.392110939338,"(min(1072.8495172100436 - x0, max(x0, x2 + -371.3526324046682) + (sqrt(x1) * 11.306792243249046)) + (cube(max(5.9690644198451555, log(x1)) + sqrt(x0)) + -171.08683473398509)) + 0.4387879744098279"
28,19925.87662060616,"min((1072.8495172100436 - x0) - x0, max(x2 + -371.3526324046682, sqrt(x2)) + (sqrt(x1) * 11.306792243249046)) + (cube(max(5.9690644198451555, log(x1)) + sqrt(x0)) + -171.08683473398509)"
29,19616.017505601998,"min((((sqrt(x1) - 8.525838758362859) * 12.640775753474848) + max(x0, x2 + -376.623941427549)) + -95.67378047253914, (x0 * -8.227957137329813) + 947.2927953888963) + cube(max(log(x1), 6.035127161544641) + sqrt(x0))"
31,19121.795406512276,"(min((x0 * -9.04744081483638) + 1009.0461487508765, ((sqrt(x1) - 14.058580296811638) * 13.73691489652811) + min(max(x2 + -375.4896821870736, x0), 917.333313460949)) + -52.10972797855999) + cube(max(log(x1), 6.152741688536412) + sqrt(x0))"
33,19020.04822770638,"cube(max(6.127239315271027, log(x1)) + sqrt(x0)) + (x0 + min((x0 * -10.84369301099047) + 961.2233686027755, (max(x0, min(x2 + -376.6605519870271, 910.7705271008758)) + -95.52472032517751) + ((sqrt(x1) - 10.96311149278798) * 13.618473736484235)))"
35,18930.73320974711,"(cube(max(6.127239315271027, log(x1)) + sqrt(x0)) + (x0 + min((x0 * -10.84369301099047) + 961.2233686027755, (max(x0, min(x2 + -376.6605519870271, 910.7705271008758)) + -95.52472032517751) + ((sqrt(x1) - 10.96311149278798) * 13.618473736484235)))) + x0"
37,18908.856542516256,"min(max(-0.32491852517234865 * x1, x0 * -17.52091444206685) + 1072.7773181826294, 56.657226389182675 + (max(-353.3734804450326 + x2, sqrt(x2)) + sqrt(sqrt(x1) * x1))) + cube(sqrt(x0 - 0.9999977264038711) + max(5.278932814149945, log(x1 - -0.15979979799272706)))"
39,18863.16073680718,"min(((sqrt(x1) * 2.1810534705681714) + (max(-0.47598287676546913, x2 + -360.5773222934104) + 59.47016177731274)) + 59.47016177731274, max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752) + cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(5.279374857527965, x0)) * 1.017180765787621))"
40,18653.609359768096,"min((sqrt((x1 + x1) * x0) + max(x2 + -353.3734804450326, sqrt(x1))) + 89.40816543424438, max(x0 * -17.52091444206685, x1 * -0.32491852517234865) + (x0 + 1072.6240083333469)) + cube(max(min(x0, 5.278932814149945), log(x1)) + sqrt(x0 - 0.9999977264038711))"
43,18639.772631122483,"min(((sqrt((x1 + x1) * x0) + sqrt(x1)) + max(-353.3734804450326 + x2, sqrt(x1))) + 56.657226389182675, (max(-17.52091444206685 * x0, -0.32491852517234865 * x1) + x0) + 1072.6240083333469) + cube(max(min(5.278932814149945, x0), log(x1)) + sqrt(x0 - 0.9999977264038711))"
44,18509.4686523173,"cube(sqrt(x0 - 0.9999946558264651) + (max(log(x1), min(x0, 5.279374857527965)) * 1.017180765787621)) + min((sqrt(x1 * 2.1810534705681714) + (max(x2 + -360.5773222934104, 10.574675887122135) + sqrt(sqrt(square(x1 * x0))))) + 59.47016177731274, max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752)"
45,18503.70890027937,"cube(sqrt(x0 - 0.9999946558264651) + (max(min(x0, 5.279374857527965), log(x1)) * 1.017180765787621)) + min(((sqrt(x1 * 2.1810534705681714) + max(10.574675887122135, x2 + -360.5773222934104)) + sqrt((x1 * x0) * square(1.0456915315878097))) + 59.47016177731274, max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752)"
48,18363.478611044782,"min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1061.878136568076, max(10.574675887122135, x2 + -360.5773222934104) + ((sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + x0) + 32.60336527353995)) + cube((max(5.279374857527965, log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))"
50,18134.059645198,"min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1064.5030592263752, (sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + max(x2 + -360.5773222934104, 10.574675887122135)) + (x0 + 32.58647168025523)) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))"
52,18130.96422790075,"(min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1061.878136568076, (sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + max(x2 + -360.5773222934104, 10.574675887122135)) + (x0 + 32.58647168025523)) + 2.6249226582993206) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))"
55,18130.917347962804,"((min(max(x0 * -18.836529989359676, x1 * -0.35047211149000335) + 1061.878136568076, sqrt(sqrt(square(sqrt(x1) * (((x1 - x2) * 1.0456915315878097) + min(x1, x2))))) + ((max(x2 + -360.5773222934104, 10.574675887122135) + sqrt(1061.878136568076)) + x0)) + 2.6249226582993206) + cube((max(min(5.279374857527965, x0), log(x1)) * 1.017180765787621) + sqrt(x0 - 0.9999946558264651))) + 0.7696607068198458"
