Complexity,Loss,Equation
1,220976.379125859,"1349.114029999094"
3,201767.07130461582,"x1 + 751.7002897381781"
4,119653.94299517659,"sqrt(x2) * 39.83181895801958"
5,77976.62102966206,"min(1659.3825278819581, x1 + x2)"
6,71789.89156771003,"(sqrt(x2) + x0) * 33.55551853973847"
7,54858.378406803466,"min(x2, 1191.0015449951848) + (x0 * 62.07575054684755)"
8,48756.244135553156,"min(x2, 1120.2638536600173) + (sqrt(x0) * 203.60494521198555)"
9,42758.05532860551,"(x0 * 46.23875556558698) + min(1315.354515236879, max(x2, x1))"
10,30918.277342196758,"(sqrt(x1 * x0) * 8.577351641296115) + min(1112.2862716459554, x2)"
11,30260.470390596314,"(sqrt(x0 * sqrt(x1)) * 45.18845111092124) + min(x2, 1081.2341052581353)"
12,26577.979182156854,"min(max(341.2093137272524, x2), 1144.2019893375011) + (sqrt(x1 * x0) * 8.051430596316498)"
14,24124.61805472137,"(sqrt(max(203.99975332772564, x1) * x0) * 8.215647206795856) + max(295.9442981495687, min(x2, 1120.1321948676255))"
15,23941.45729974273,"min(1133.3337011409794, max(x2, 328.68801079790137)) + (sqrt(max(square(x0), x1) * x0) * 8.143391491308721)"
16,22546.36145498709,"((sqrt(x0 * (x1 + 250.26266434243988)) * 8.60962745412053) + min(1152.8914016514636, max(354.83006348511344, x2))) - 159.54297683835432"
18,21380.553320500596,"(max(min(x2, 1156.6545273492832), 364.10534334749565) - 105.0287884517365) + (sqrt(max(x1, x0 / 0.03332843081604908) * x0) * 9.148666229845121)"
20,21292.525758643056,"(max(min(x2, 1157.0440328466882), 364.5304107994217) - 103.82404873362691) + (sqrt((max(x1, x0 / 0.03310476608339888) * x0) + -30.19510033659963) * 9.156958625101732)"
21,20716.85388643387,"sqrt((x1 + (min(1249.5462642727532, x2) + 207.4841620584638)) * ((sqrt(x0) * 363.71980511128635) + (min(max(x2, 478.50609737498036), 1062.7305263045007) - 682.9612125196553)))"
22,19774.311928052724,"sqrt((((x0 * 62.112926613977095) + max(min(1078.9249232614147, x2), 495.4901505868899)) - 414.5888566903633) * (x1 + min(max(x1, 403.0003534826384) + x2, 1840.7561050756972)))"
23,18700.68956280103,"sqrt(((max(min(x2, 1049.0922165238067), 510.0691102181031) - 696.7325230843554) + (sqrt(x0) * 280.2531958795823)) * (x1 + min(1949.755730619287, max(427.29858587047283, x1) + x2)))"
25,18642.483029488663,"sqrt((x1 + min(1962.8875237021653, max(x1, 462.9780365103761) + x2)) * (min(1048.8623154941165, max(x2, 495.6528097696783)) + ((sqrt(x0) * 292.61979178874407) - 659.9001994138933))) - 57.147842591554756"
26,18508.139286618247,"sqrt(((sqrt(x0) * 278.89984303281125) + (max(min(x2, 1047.5295133016984), 509.8209250162362) - 692.1883348540277)) * (max(square(x0), x1) + min(1948.8714943460798, max(x1, 402.9933605611255) + x2)))"
27,18191.38810774946,"sqrt((min(x2 + max(max(x0 * 45.630501867223806, x1), x1), 1889.4820547953402) + x1) * ((sqrt(x0) * 273.2858146678785) + (max(513.6591591944872, min(1067.736276469651, x2)) - 674.1367436045035)))"
29,18150.630406534445,"sqrt(((min(1892.4684420627855, x2 + max(x0 * 45.51793355553506, max(227.6098516099259, x1))) + x1) * ((sqrt(x0) * 274.5575451520852) + (min(1066.8709080197475, max(512.1687052071898, x2)) - 678.0814054449061))) + x0)"
31,18148.006197781186,"sqrt(((min(1892.4684420627855, x2 + max(max(x0 * 45.51793355553506, x0), max(227.6098516099259, x1))) + x1) * ((sqrt(x0) * 274.5575451520852) + (min(max(512.1687052071898, x2), 1066.8709080197475) - 678.0814054449061))) - x2)"
35,18144.914085016047,"sqrt(((min(1898.8041283681407, max(max(x0 * 44.93286530981451, 223.36102589828923), x1) + x2) + x1) * ((sqrt(x0) * 275.21177849883895) + (min(max(514.0192833166298, x2), 1066.6278271137037) - (min(-2.6156636251421763, x0 * 45.51793355553506) + 682.4887837871444)))) - x2)"
36,18088.290668012094,"sqrt(max((min(x2 + max(x1, 355.3990313549517), 1926.3306134931472) + max(square(min(0.24135674593958928, (x0 * -3.167523432488106) - -22.413547048140593)), x1)) * ((min(1048.0766224444276, max(495.46609144010586, x2)) + (sqrt(x0) * 283.04912650787776)) - 696.8108138286824), x1 * 350.32698013893696))"
38,18084.79358719327,"sqrt(max((min(x2 + max(x1, 355.3990313549517), 1926.3306134931472) + max(square(min(0.24135674593958928, (x0 * -3.167523432488106) - -22.413547048140593)), x1)) * ((min(1048.0766224444276, max(495.46609144010586, x2)) + (sqrt(x0) * 283.04912650787776)) - 696.8108138286824), (x1 + -22.413547048140593) * 350.32698013893696))"
40,18083.562403464515,"sqrt(max((max(square(min(0.24135674593958928, (x0 * -3.167523432488106) - -22.413547048140593)), x1) + min(max(x1, 355.3990313549517) + x2, 1926.3306134931472)) * ((min(1048.0766224444276, max(495.46609144010586, x2)) + (sqrt(x0) * 283.04912650787776)) - 696.8108138286824), (x1 + -22.413547048140593) * 350.32698013893696) + x1)"
