Complexity,Loss,Equation
1,220976.37912585904,"1349.1140298886783"
3,201767.0713046158,"x1 + 751.7002900345725"
4,119653.94299517658,"sqrt(x2) * 39.831818957976516"
5,77976.62102966206,"min(1659.3825278796603, x1 + x2)"
6,71789.89156771002,"(sqrt(x2) + x0) * 33.555518555063124"
7,54858.378406803466,"(x0 * 62.07575053964496) + min(x2, 1191.0015451870993)"
8,48756.244135553156,"(sqrt(x0) * 203.60494520349604) + min(1120.2638536986092, x2)"
9,32191.546880758648,"cube(log(x0 * x1)) + min(x2, 1106.9047435426112)"
11,28760.945651651473,"cube(log(x0 * x1)) + max(293.49066282508835, min(x2, 1106.9048373518042))"
12,28567.755069471084,"min(1072.3571867064704, x2) + cube(log(cube(x0) + (x0 * x1)))"
13,25513.87232537042,"cube(log(x1 * (x0 + -0.8711694692931767))) + min(1148.1188940681895, max(x2, 344.79522049806405))"
15,25309.66044981619,"cube(log(x1 * (x0 + -0.8739159746226094))) + min(x0 + max(338.6955324419689, x2), 1148.6438673397208)"
17,21315.850762567527,"cube(log(x0 * ((x1 - -200.84416224676193) * 4.106846707090311))) + min(max(x2 + -481.3089846537374, -110.83362596632314), 674.3246096813256)"
19,21184.17610958359,"cube(log((x0 * 4.249673326955469) * (x1 - -205.02582045614852))) + max(-121.70218309425752, min(x2 + -493.23903557173145, 670.0951080953301 - x0))"
20,20705.525559890862,"cube(log((x1 - -684.4559933117611) * sqrt(x0)) - -5.2952050257808265) + (max(x0, min(786.2850520629904, x2 + -371.2798981233918)) + -1522.3480871818876)"
21,19952.741872506496,"min(688.7026672678173, max((x2 - (x1 * -0.2268109195848288)) + -612.278830468131, -114.91350320990898)) + cube(log(((x1 - -320.79972114997344) * 3.40512126655055) * x0))"
22,19612.225742475952,"(cube(log(x0 * (x1 - -268.5972218487461))) + min(max(square(x0), x2 + (-508.17911451250603 - (x1 * -0.21850980664191327))), 715.9722215764128)) * 1.22126798465216"
24,19462.830482531223,"(cube(log(x0 * (x1 - -300.3572421922681))) + min(max(sqrt(x0 * x1), x2 + (-529.1946036734682 - (x1 * -0.21494499990629395))), 690.8727426394016)) * 1.236383158572492"
25,19118.696797083183,"cube(log(sqrt(x0) * (x1 - -700.7980171857014)) - -3.9200109555010685) + (min((sqrt(x1) * x0) + max(x2 + -393.6947777025122, -10.91550431354623), 936.8942041952721) + -1009.1666048737171)"
27,18632.995230507946,"(min(((sqrt(x0) * x1) * 0.08607981587685022) + max(-51.85445747834684, x2 + -436.8999210328822), 865.7239769840664) + cube(log(sqrt(x0) * (x1 - -920.0350991748413)) - -4.394182488487187)) + -1225.8635346950875"
29,18396.326529649905,"cube(log((x1 - -887.1213500091795) * sqrt(x0)) - -4.345325526918578) + (min(max(-64.45537711870787, x2 + -459.89077974239615) + (sqrt(x0) * max(29.50566765280241, x1 * 0.09652381531292704)), 870.5844236376304) + -1196.3300606817822)"
30,18378.31124857256,"min(max(-64.45537711870787, x2 + -459.89077974239615) + (sqrt(x0) * max(sqrt(x2), x1 * 0.09652381531292704)), 870.5844236376304) + (cube(log((x1 - -887.1213500091795) * sqrt(x0)) - -4.345325526918578) + -1196.3300606817822)"
31,18063.71259589445,"cube(log(sqrt(x0) * (x1 + 837.6996464971138)) - -4.18176498377962) + (min(max((x1 * 0.09932465641012994) * sqrt(x0), x0 * x0) + max(-48.09773670638267, x2 + -440.5012827027923), 897.815340553011) + -1130.5316333869303)"
33,18063.53309215343,"cube(log(sqrt(x0) * (x1 + 837.6996464971138)) - -4.18176498377962) + (min(max((x1 * 0.09932465641012994) * sqrt(min(x2, x0)), x0 * x0) + max(-48.09773670638267, x2 + -440.5012827027923), 897.815340553011) + -1130.5316333869303)"
35,18040.91257457075,"(min(x0 + 909.2352446697013, (max(min(x1, x0) * 3.9664213224590683, x1 * 0.10600903238411029) * sqrt(x0)) + max(-43.98935056881956, x2 + -436.68797930665204)) + cube(log((x1 + 847.8851562101536) * sqrt(x0)) - -4.096802079921446)) + -1113.132919175845"
37,18029.788229784943,"min(max((min(x1, x0) * x0) - -11.905759718663816, x1 * (sqrt(x0) * 0.10349590962792159)) + max(-37.749282555138365, x2 + -428.3411468799329), 918.228354172168) + ((x0 + cube(log(sqrt(x0) * (x1 + 815.9980767106368)) - -3.9987083828515066)) + -1068.2791441379618)"
39,18025.141411247354,"(min(max(min(x1, x0) * x0, sqrt(x0) * (x1 * 0.10064186623064937)) + (max(x2 + -409.47804240820267, -18.16958526978806) + -11.419617214567547), 918.8875427401833) + (cube(log(sqrt(x0) * (x1 + 813.5524955001198)) - -3.9789214999472273) + (x0 + -1067.1338132211854))) + x0"
